ColorId,CanonicalColorId,Status,PrimaryName,Aliases,RegistryNotes,BreedContext,ColorGroup,BaseSeries,OrangeState,Dilution,AgoutiState,SilverState,WhiteState,PointState,PatternState,SexRestriction,DisplayAllowed,InputAllowed,OutputPriority,SourceCodes,SourceNames,GeneticRuleSource,Notes
blue_cream,blue_cream,canonical,Blue Cream,,,general,tortie,black,tortie,dilute,solid,non_silver,none,full,none,female_only,true,true,90,31,Blue Cream,current_map,
blue_mackerel_tabby,blue_mackerel_tabby,canonical,Blue Mackerel Tabby,,,general,tabby,black,non_orange,dilute,agouti,non_silver,none,full,mackerel,unrestricted,true,true,90,135,Blue Mackerel Tabby,current_map,
blue_mackerel_tabby_white,blue_mackerel_tabby_white,canonical,Blue Mackerel Tabby-White,,,general,tabby,black,non_orange,dilute,agouti,non_silver,white,full,mackerel,unrestricted,true,true,90,185,Blue Mc Tabby-White,current_map,正規化: Mc→Mackerel
blue_patched_classic_tabby,blue_patched_classic_tabby,canonical,Blue Patched Classic Tabby,,map_only: 元データに無く cat_color_genetic_map.csv のみに存在,general,patched_tabby,black,tortie,dilute,agouti,non_silver,none,full,classic,female_only,true,true,90,497,[map] Blue Patched Classic Tabby,current_map,
blue_patched_mackerel_tabby,blue_patched_mackerel_tabby,canonical,Blue Patched Mackerel Tabby,,,general,patched_tabby,black,tortie,dilute,agouti,non_silver,none,full,mackerel,female_only,true,true,90,166,Blue Patched Mc Tabby,current_map,正規化: Mc→Mackerel
blue_patched_mackerel_tabby_white,blue_patched_mackerel_tabby_white,canonical,Blue Patched Mackerel Tabby-White,,,general,patched_tabby,black,tortie,dilute,agouti,non_silver,white,full,mackerel,female_only,true,true,90,205,Blue Pt Mc Tabby-White,current_map,"正規化: Mc→Mackerel, Pt→Patched (Point ではない)"
blue_patched_spotted_tabby,blue_patched_spotted_tabby,canonical,Blue Patched Spotted Tabby,,,general,patched_tabby,black,tortie,dilute,agouti,non_silver,none,full,spotted,female_only,true,true,90,272,Blue Pt Sp Tabby,current_map,"正規化: Pt→Patched (Point ではない), Sp→Spotted"
blue_patched_spotted_tabby_white,blue_patched_spotted_tabby_white,canonical,Blue Patched Spotted Tabby-White,,,general,patched_tabby,black,tortie,dilute,agouti,non_silver,white,full,spotted,female_only,true,true,90,275,Blue Pt Sp Tabby-White,current_map,"正規化: Pt→Patched (Point ではない), Sp→Spotted"
blue_patched_tabby,blue_patched_tabby,canonical,Blue Patched Tabby,,,general,patched_tabby,black,tortie,dilute,agouti,non_silver,none,full,tabby,female_only,true,true,90,165,Blue Patched Tabby,current_map,
blue_patched_tabby_white,blue_patched_tabby_white,canonical,Blue Patched Tabby-White,,,general,patched_tabby,black,tortie,dilute,agouti,non_silver,white,full,tabby,female_only,true,true,90,204,Blue Pt Tabby-White,current_map,正規化: Pt→Patched (Point ではない)
blue_spotted_tabby,blue_spotted_tabby,canonical,Blue Spotted Tabby,,,general,tabby,black,non_orange,dilute,agouti,non_silver,none,full,spotted,unrestricted,true,true,90,233,Blue Spotted Tabby,current_map,
blue_spotted_tabby_white,blue_spotted_tabby_white,canonical,Blue Spotted Tabby-White,,,general,tabby,black,non_orange,dilute,agouti,non_silver,white,full,spotted,unrestricted,true,true,90,243,Blue Sp Tabby-White,current_map,正規化: Sp→Spotted
blue_tabby,blue_tabby,canonical,Blue Tabby,,,general,tabby,black,non_orange,dilute,agouti,non_silver,none,full,tabby,unrestricted,true,true,90,134,Blue Tabby,current_map,
blue_tabby_white,blue_tabby_white,canonical,Blue Tabby-White,,,general,tabby,black,non_orange,dilute,agouti,non_silver,white,full,tabby,unrestricted,true,true,90,184,Blue Tabby-White,current_map,
blue_ticked_tabby,blue_ticked_tabby,canonical,Blue Ticked Tabby,,,general,tabby,black,non_orange,dilute,agouti,non_silver,none,full,ticked,unrestricted,true,true,90,155,Blue Ticked Tabby,current_map,
blue_ticked_tabby_white,blue_ticked_tabby_white,canonical,Blue Ticked Tabby-White,,,general,tabby,black,non_orange,dilute,agouti,non_silver,white,full,ticked,unrestricted,true,true,90,196 | 401,Blue Tc Tabby-White | Blue Ticked Tabby-White,current_map,正規化: Tc→Ticked
brown_classic_tabby,brown_classic_tabby,canonical,Brown Classic Tabby,,map_only: 元データに無く cat_color_genetic_map.csv のみに存在,general,tabby,black,non_orange,dense,agouti,non_silver,none,full,classic,unrestricted,true,true,90,494,[map] Brown Classic Tabby,current_map,
brown_classic_tabby_white,brown_classic_tabby_white,canonical,Brown Classic Tabby-White,,,general,tabby,black,non_orange,dense,agouti,non_silver,white,full,classic,unrestricted,true,true,90,466,Brown Classic Tabby-White,current_map,
brown_mackerel_tabby,brown_mackerel_tabby,canonical,Brown Mackerel Tabby,,,general,tabby,black,non_orange,dense,agouti,non_silver,none,full,mackerel,unrestricted,true,true,90,133,Brown Mackerel Tabby,current_map,
brown_mackerel_tabby_white,brown_mackerel_tabby_white,canonical,Brown Mackerel Tabby-White,,,general,tabby,black,non_orange,dense,agouti,non_silver,white,full,mackerel,unrestricted,true,true,90,183,Brown Mc Tabby-White,current_map,正規化: Mc→Mackerel
brown_patched_classic_tabby,brown_patched_classic_tabby,canonical,Brown Patched Classic Tabby,,map_only: 元データに無く cat_color_genetic_map.csv のみに存在,general,patched_tabby,black,tortie,dense,agouti,non_silver,none,full,classic,female_only,true,true,90,495,[map] Brown Patched Classic Tabby,current_map,
brown_patched_mackerel_tabby,brown_patched_mackerel_tabby,canonical,Brown Patched Mackerel Tabby,,,general,patched_tabby,black,tortie,dense,agouti,non_silver,none,full,mackerel,female_only,true,true,90,163,Brown Patched Mc Tabby,current_map,正規化: Mc→Mackerel
brown_patched_mackerel_tabby_white,brown_patched_mackerel_tabby_white,canonical,Brown Patched Mackerel Tabby-White,,,general,patched_tabby,black,tortie,dense,agouti,non_silver,white,full,mackerel,female_only,true,true,90,203,Brown Pt Mc Tabby-White,current_map,"正規化: Mc→Mackerel, Pt→Patched (Point ではない)"
brown_patched_spotted_tabby,brown_patched_spotted_tabby,canonical,Brown Patched Spotted Tabby,,,general,patched_tabby,black,tortie,dense,agouti,non_silver,none,full,spotted,female_only,true,true,90,271 | 477,Brown Pt Sp Tabby | Brown Patched Sp Tabby,current_map,"正規化: Pt→Patched (Point ではない), Sp→Spotted"
brown_patched_spotted_tabby_white,brown_patched_spotted_tabby_white,canonical,Brown Patched Spotted Tabby-White,,,general,patched_tabby,black,tortie,dense,agouti,non_silver,white,full,spotted,female_only,true,true,90,274,Brown Pt Sp Tabby-White,current_map,"正規化: Pt→Patched (Point ではない), Sp→Spotted"
brown_patched_tabby,brown_patched_tabby,canonical,Brown Patched Tabby,,,general,patched_tabby,black,tortie,dense,agouti,non_silver,none,full,tabby,female_only,true,true,90,162,Brown Patched Tabby,current_map,
brown_patched_tabby_white,brown_patched_tabby_white,canonical,Brown Patched Tabby-White,,,general,patched_tabby,black,tortie,dense,agouti,non_silver,white,full,tabby,female_only,true,true,90,202,Brown Pt Tabby-White,current_map,正規化: Pt→Patched (Point ではない)
brown_patched_ticked_tabby,brown_patched_ticked_tabby,canonical,Brown Patched Ticked Tabby,,,general,patched_tabby,black,tortie,dense,agouti,non_silver,none,full,ticked,female_only,true,true,90,459,Brown Pt Ticked Tabby,current_map,正規化: Pt→Patched (Point ではない)
brown_patched_ticked_tabby_white,brown_patched_ticked_tabby_white,canonical,Brown Patched Ticked Tabby-White,,,general,patched_tabby,black,tortie,dense,agouti,non_silver,white,full,ticked,female_only,true,true,90,446,Brown Pt Ticked Tabby-W,current_map,"正規化: Pt→Patched (Point ではない), Tabby-W→Tabby-White"
brown_spotted_tabby,brown_spotted_tabby,canonical,Brown Spotted Tabby,,団体/補足タグ: Rosettes,general,tabby,black,non_orange,dense,agouti,non_silver,none,full,spotted,unrestricted,true,true,90,231 | 407,Brown Spotted Tabby | Brown Sp Tabby (Rosettes),current_map,正規化: Sp→Spotted
brown_spotted_tabby_white,brown_spotted_tabby_white,canonical,Brown Spotted Tabby-White,,,general,tabby,black,non_orange,dense,agouti,non_silver,white,full,spotted,unrestricted,true,true,90,241,Brown Sp Tabby-White,current_map,正規化: Sp→Spotted
brown_tabby,brown_tabby,canonical,Brown Tabby,,,general,tabby,black,non_orange,dense,agouti,non_silver,none,full,tabby,unrestricted,true,true,90,132,Brown Tabby,current_map,
brown_tabby_white,brown_tabby_white,canonical,Brown Tabby-White,,,general,tabby,black,non_orange,dense,agouti,non_silver,white,full,tabby,unrestricted,true,true,90,182,Brown Tabby-White,current_map,
brown_ticked_patched_tabby,brown_ticked_patched_tabby,canonical,Brown Ticked Patched Tabby,,,general,patched_tabby,black,tortie,dense,agouti,non_silver,none,full,ticked,female_only,true,true,90,467,Brown Ticked Pt Tabby,current_map,正規化: Pt→Patched (Point ではない)
brown_ticked_tabby,brown_ticked_tabby,canonical,Brown Ticked Tabby,,,general,tabby,black,non_orange,dense,agouti,non_silver,none,full,ticked,unrestricted,true,true,90,154,Brown Ticked Tabby,current_map,
brown_ticked_tabby_white,brown_ticked_tabby_white,canonical,Brown Ticked Tabby-White,,,general,tabby,black,non_orange,dense,agouti,non_silver,white,full,ticked,unrestricted,true,true,90,195 | 283,Brown Tc Tabby-White | Brown Ticked Tabby-White,current_map,正規化: Tc→Ticked
calico,calico,canonical,Calico,,,general,calico,black,tortie,dense,solid,non_silver,white,full,none,female_only,true,true,90,32,Calico,current_map,
chocolate_patched_tabby,chocolate_patched_tabby,canonical,Chocolate Patched Tabby,,,general,patched_tabby,chocolate,tortie,dense,agouti,non_silver,none,full,tabby,female_only,true,true,90,378,Chocolate Patched Tabby,current_map,
chocolate_patched_tabby_white,chocolate_patched_tabby_white,canonical,Chocolate Patched Tabby-White,,,general,patched_tabby,chocolate,non_orange,dense,agouti,non_silver,white,full,tabby,female_only,true,true,90,419,Chocolate Pt Tabby-White,inferred,正規化: Pt→Patched (Point ではない) / 遺伝子座はマップ未収載のため名前から推定。
chocolate_spotted_tabby,chocolate_spotted_tabby,canonical,Chocolate Spotted Tabby,,,general,tabby,chocolate,non_orange,dense,agouti,non_silver,none,full,spotted,unrestricted,true,true,90,238,Chocolate Spotted Tabby,current_map,
chocolate_tabby,chocolate_tabby,canonical,Chocolate Tabby,,,general,tabby,chocolate,non_orange,dense,agouti,non_silver,none,full,tabby,unrestricted,true,true,90,398,Chocolate Tabby,current_map,
chocolate_tabby_white,chocolate_tabby_white,canonical,Chocolate Tabby-White,,,general,tabby,chocolate,non_orange,dense,agouti,non_silver,white,full,tabby,unrestricted,true,true,90,,Chocolate Tabby-White,inferred,遺伝子座はマップ未収載のため名前から推定。
chocolate_tortie,chocolate_tortie,canonical,Chocolate Tortie,,,general,tortie,chocolate,tortie,dense,solid,non_silver,none,full,none,female_only,true,true,90,327,Chocolate Tortie,inferred,遺伝子座はマップ未収載のため名前から推定。
cinnamon_mackerel_tabby,cinnamon_mackerel_tabby,canonical,Cinnamon Mackerel Tabby,,,general,tabby,cinnamon,non_orange,dense,agouti,non_silver,none,full,mackerel,unrestricted,true,true,90,442,Cinnamon Mackerel Tabby,current_map,
cinnamon_patched_tabby,cinnamon_patched_tabby,canonical,Cinnamon Patched Tabby,,,general,patched_tabby,cinnamon,tortie,dense,agouti,non_silver,none,full,tabby,female_only,true,true,90,167,Cinnamon Patched Tabby,current_map,
cinnamon_spotted_tabby,cinnamon_spotted_tabby,canonical,Cinnamon Spotted Tabby,,,general,tabby,cinnamon,non_orange,dense,agouti,non_silver,none,full,spotted,unrestricted,true,true,90,236,Cinnamon Spotted Tabby,current_map,
cinnamon_tabby,cinnamon_tabby,canonical,Cinnamon Tabby,,団体/補足タグ: AOC,general,tabby,cinnamon,non_orange,dense,agouti,non_silver,none,full,tabby,unrestricted,true,true,90,150 | 436,Cinnamon Tabby | Cinnamon Tabby(AOC),current_map,
cinnamon_ticked_tabby,cinnamon_ticked_tabby,canonical,Cinnamon Ticked Tabby,,,general,tabby,cinnamon,non_orange,dense,agouti,non_silver,none,full,ticked,unrestricted,true,true,90,471,Cinnamon Ticked Tabby,current_map,
cream_classic_tabby,cream_classic_tabby,canonical,Cream Classic Tabby,,map_only: 元データに無く cat_color_genetic_map.csv のみに存在,general,tabby,red,orange,dilute,agouti,non_silver,none,full,classic,unrestricted,true,true,90,500,[map] Cream Classic Tabby,current_map,
cream_classic_tabby_white,cream_classic_tabby_white,canonical,Cream Classic Tabby-White,,,general,tabby,red,orange,dilute,agouti,non_silver,white,full,classic,unrestricted,true,true,90,437,Cream Classic Tabby-White,current_map,
cream_mackerel_tabby,cream_mackerel_tabby,canonical,Cream Mackerel Tabby,,,general,tabby,red,orange,dilute,agouti,non_silver,none,full,mackerel,unrestricted,true,true,90,139,Cream Mackerel Tabby,current_map,
cream_mackerel_tabby_white,cream_mackerel_tabby_white,canonical,Cream Mackerel Tabby-White,,,general,tabby,red,orange,dilute,agouti,non_silver,white,full,mackerel,unrestricted,true,true,90,191,Cream Mc Tabby-White,current_map,正規化: Mc→Mackerel
cream_spotted_tabby,cream_spotted_tabby,canonical,Cream Spotted Tabby,,,general,tabby,red,orange,dilute,agouti,non_silver,none,full,spotted,unrestricted,true,true,90,234,Cream Spotted Tabby,current_map,
cream_spotted_tabby_white,cream_spotted_tabby_white,canonical,Cream Spotted Tabby-White,,,general,tabby,red,orange,dilute,agouti,non_silver,white,full,spotted,unrestricted,true,true,90,244,Cream Sp Tabby-White,current_map,正規化: Sp→Spotted
cream_tabby,cream_tabby,canonical,Cream Tabby,,,general,tabby,red,orange,dilute,agouti,non_silver,none,full,tabby,unrestricted,true,true,90,138,Cream Tabby,current_map,
cream_tabby_white,cream_tabby_white,canonical,Cream Tabby-White,,,general,tabby,red,orange,dilute,agouti,non_silver,white,full,tabby,unrestricted,true,true,90,190,Cream Tabby-White,current_map,
cream_ticked_tabby,cream_ticked_tabby,canonical,Cream Ticked Tabby,,,general,tabby,red,orange,dilute,agouti,non_silver,none,full,ticked,unrestricted,true,true,90,417,Cream Ticked Tabby,inferred,遺伝子座はマップ未収載のため名前から推定。
cream_ticked_tabby_white,cream_ticked_tabby_white,canonical,Cream Ticked Tabby-White,,,general,tabby,red,orange,dilute,agouti,non_silver,white,full,ticked,unrestricted,true,true,90,487,Cream Ticked Tabby-White,current_map,
dilute_calico,dilute_calico,canonical,Dilute Calico,,,general,calico,black,tortie,dilute,solid,non_silver,white,full,none,female_only,true,true,90,33,Dilute Calico,current_map,
fawn_patched_tabby,fawn_patched_tabby,canonical,Fawn Patched Tabby,,,general,patched_tabby,cinnamon,tortie,dilute,agouti,non_silver,none,full,tabby,female_only,true,true,90,171,Fawn Patched Tabby,current_map,
fawn_spotted_tabby,fawn_spotted_tabby,canonical,Fawn Spotted Tabby,,,general,tabby,cinnamon,non_orange,dilute,agouti,non_silver,none,full,spotted,unrestricted,true,true,90,237,Fawn Spotted Tabby,current_map,
fawn_tabby,fawn_tabby,canonical,Fawn Tabby,,,general,tabby,cinnamon,non_orange,dilute,agouti,non_silver,none,full,tabby,unrestricted,true,true,90,149,Fawn Tabby,current_map,
golden_mackerel_tabby,golden_mackerel_tabby,canonical,Golden Mackerel Tabby,,,general,tabby,unknown,non_orange,dense,agouti,non_silver,none,full,shaded,unrestricted,true,true,90,145,Golden Mc Tabby,review_required,遺伝子座 (Wb / C系) は要確認。 / Golden = non_silver + agouti + wideband/tipping。i/i のみ・Wb/- のみでは確定しない (要 Wb/- + tipping)。 / 正規化: Mc→Mackerel
golden_tabby,golden_tabby,canonical,Golden Tabby,,,general,tabby,unknown,non_orange,dense,agouti,non_silver,none,full,shaded,unrestricted,true,true,90,144,Golden Tabby,review_required,遺伝子座 (Wb / C系) は要確認。 / Golden = non_silver + agouti + wideband/tipping。i/i のみ・Wb/- のみでは確定しない (要 Wb/- + tipping)。
lilac_classic_tabby,lilac_classic_tabby,canonical,Lilac Classic Tabby,,map_only: 元データに無く cat_color_genetic_map.csv のみに存在,general,tabby,chocolate,non_orange,dilute,agouti,non_silver,none,full,classic,unrestricted,true,true,90,505,[map] Lilac Classic Tabby,current_map,
lilac_classic_tabby_white,lilac_classic_tabby_white,canonical,Lilac Classic Tabby-White,,map_only: 元データに無く cat_color_genetic_map.csv のみに存在,general,tabby,chocolate,non_orange,dilute,agouti,non_silver,white,full,classic,unrestricted,true,true,90,506,[map] Lilac Classic Tabby-White,current_map,
lilac_cream,lilac_cream,canonical,Lilac Cream,,,general,tortie,chocolate,tortie,dilute,solid,non_silver,none,full,none,female_only,true,true,90,455,Lilac Cream,current_map,
lilac_patched_classic_tabby,lilac_patched_classic_tabby,canonical,Lilac Patched Classic Tabby,,map_only: 元データに無く cat_color_genetic_map.csv のみに存在,general,patched_tabby,chocolate,tortie,dilute,agouti,non_silver,none,full,classic,female_only,true,true,90,507,[map] Lilac Patched Classic Tabby,current_map,
lilac_patched_tabby,lilac_patched_tabby,canonical,Lilac Patched Tabby,,map_only: 元データに無く cat_color_genetic_map.csv のみに存在,general,patched_tabby,chocolate,tortie,dilute,agouti,non_silver,none,full,tabby,female_only,true,true,90,510,[map] Lilac Patched Tabby,current_map,
lilac_patched_tabby_white,lilac_patched_tabby_white,canonical,Lilac Patched Tabby-White,,,general,patched_tabby,chocolate,tortie,dilute,agouti,non_silver,white,full,tabby,female_only,true,true,90,,Lilac Patched Tabby-White,inferred,遺伝子座はマップ未収載のため名前から推定。
lilac_spotted_tabby,lilac_spotted_tabby,canonical,Lilac Spotted Tabby,,map_only: 元データに無く cat_color_genetic_map.csv のみに存在,general,tabby,chocolate,non_orange,dilute,agouti,non_silver,none,full,spotted,unrestricted,true,true,90,511,[map] Lilac Spotted Tabby,current_map,
lilac_tabby,lilac_tabby,canonical,Lilac Tabby,,,general,tabby,chocolate,non_orange,dilute,agouti,non_silver,none,full,tabby,unrestricted,true,true,90,441,Lilac Tabby,current_map,
lilac_tabby_white,lilac_tabby_white,canonical,Lilac Tabby-White,,,general,tabby,chocolate,non_orange,dilute,agouti,non_silver,white,full,tabby,unrestricted,true,true,90,480,Lilac Tabby-White,current_map,
red_classic_tabby,red_classic_tabby,canonical,Red Classic Tabby,,map_only: 元データに無く cat_color_genetic_map.csv のみに存在,general,tabby,red,orange,dense,agouti,non_silver,none,full,classic,unrestricted,true,true,90,498,[map] Red Classic Tabby,current_map,
red_classic_tabby_white,red_classic_tabby_white,canonical,Red Classic Tabby-White,,map_only: 元データに無く cat_color_genetic_map.csv のみに存在,general,tabby,red,orange,dense,agouti,non_silver,white,full,classic,unrestricted,true,true,90,499,[map] Red Classic Tabby-White,current_map,
red_mackerel_tabby,red_mackerel_tabby,canonical,Red Mackerel Tabby,,,general,tabby,red,orange,dense,agouti,non_silver,none,full,mackerel,unrestricted,true,true,90,137,Red Mackerel Tabby,current_map,
red_mackerel_tabby_white,red_mackerel_tabby_white,canonical,Red Mackerel Tabby-White,,,general,tabby,red,orange,dense,agouti,non_silver,white,full,mackerel,unrestricted,true,true,90,187,Red Mc Tabby-White,current_map,正規化: Mc→Mackerel
red_spotted_tabby,red_spotted_tabby,canonical,Red Spotted Tabby,,,general,tabby,red,orange,dense,agouti,non_silver,none,full,spotted,unrestricted,true,true,90,232,Red Spotted Tabby,current_map,
red_spotted_tabby_white,red_spotted_tabby_white,canonical,Red Spotted Tabby-White,,,general,tabby,red,orange,dense,agouti,non_silver,white,full,spotted,unrestricted,true,true,90,242,Red Sp Tabby-White,current_map,正規化: Sp→Spotted
red_tabby,red_tabby,canonical,Red Tabby,,,general,tabby,red,orange,dense,agouti,non_silver,none,full,tabby,unrestricted,true,true,90,136,Red Tabby,current_map,
red_tabby_white,red_tabby_white,canonical,Red Tabby-White,,,general,tabby,red,orange,dense,agouti,non_silver,white,full,tabby,unrestricted,true,true,90,186,Red Tabby-White,current_map,
red_ticked_tabby,red_ticked_tabby,canonical,Red Ticked Tabby,,,general,tabby,red,orange,dense,agouti,non_silver,none,full,ticked,unrestricted,true,true,90,416,Red Ticked Tabby,inferred,遺伝子座はマップ未収載のため名前から推定。
tawny_spotted_tabby,tawny_spotted_tabby,canonical,Tawny Spotted Tabby,,,general,tabby,black,non_orange,dense,agouti,non_silver,none,full,spotted,unrestricted,true,true,90,235,Tawny Spotted Tabby,current_map,
tortoiseshell,tortoiseshell,canonical,Tortoiseshell,,Shell/Chinchilla は計算上同一の shell tipping 概念。赤系/クリーム系等は Shell/Shell Cameo 表記優先。,general,tortie,black,tortie,dense,solid,non_silver,none,full,none,female_only,true,true,90,30,Tortoiseshell,current_map,PatternState=shell。最終表示は PrimaryName/Aliases/BreedContext/RegistryNotes に従う。
black_silver_spotted_tabby,black_silver_spotted_tabby,canonical,Black Silver Spotted Tabby,,,general,silver_tabby,black,non_orange,dense,agouti,silver,none,full,spotted,unrestricted,true,true,80,461,Black Silver Spotted Tabby,current_map,
black_smoke,black_smoke,canonical,Black Smoke,,,general,smoke,black,non_orange,dense,solid,smoke,none,full,none,unrestricted,true,true,80,70,Black Smoke,current_map,Smoke = solid(a/a) + inhibitor I/-。Shell/Shaded/Chinchilla/Golden(Wb系)とは別系統。
black_smoke_white,black_smoke_white,canonical,Black Smoke-White,,,general,smoke,black,non_orange,dense,solid,smoke,white,full,none,unrestricted,true,true,80,50,Black Smoke-White,current_map,Smoke = solid(a/a) + inhibitor I/-。Shell/Shaded/Chinchilla/Golden(Wb系)とは別系統。
blue_cream_smoke,blue_cream_smoke,canonical,Blue Cream Smoke,,,general,smoke,black,tortie,dilute,solid,smoke,none,full,none,female_only,true,true,80,74,Blue Cream Smoke,current_map,Smoke = solid(a/a) + inhibitor I/-。Shell/Shaded/Chinchilla/Golden(Wb系)とは別系統。
blue_cream_smoke_white,blue_cream_smoke_white,canonical,Blue Cream Smoke-White,,,general,smoke,black,tortie,dilute,solid,smoke,white,full,none,female_only,true,true,80,53,Blue Cream Smoke-White,current_map,Smoke = solid(a/a) + inhibitor I/-。Shell/Shaded/Chinchilla/Golden(Wb系)とは別系統。
blue_silver,blue_silver,canonical,Blue Silver,,,general,solid,black,non_orange,dilute,solid,silver,none,full,none,unrestricted,true,true,80,20,Blue Silver,current_map,
blue_silver_classic_tabby,blue_silver_classic_tabby,canonical,Blue Silver Classic Tabby,,,general,silver_tabby,black,non_orange,dilute,agouti,silver,none,full,classic,unrestricted,true,true,80,340,Blue Silver Classic Tabby,inferred,遺伝子座はマップ未収載のため名前から推定。
blue_silver_mackerel_tabby,blue_silver_mackerel_tabby,canonical,Blue Silver Mackerel Tabby,,,general,silver_tabby,black,non_orange,dilute,agouti,silver,none,full,mackerel,unrestricted,true,true,80,310,Blue Silver Mc Tabby,current_map,正規化: Mc→Mackerel
blue_silver_mackerel_tabby_white,blue_silver_mackerel_tabby_white,canonical,Blue Silver Mackerel Tabby-White,,,general,silver_tabby,black,non_orange,dilute,agouti,silver,white,full,mackerel,unrestricted,true,true,80,322,Blue Silver Mc Tabby-White,inferred,正規化: Mc→Mackerel / 遺伝子座はマップ未収載のため名前から推定。
blue_silver_patched_mackerel_tabby,blue_silver_patched_mackerel_tabby,canonical,Blue Silver Patched Mackerel Tabby,,,general,patched_tabby,black,tortie,dilute,agouti,silver,none,full,mackerel,female_only,true,true,80,390,Blue Silver Pt Mc Tabby,current_map,"正規化: Mc→Mackerel, Pt→Patched (Point ではない)"
